word	pos_tag	ner
इश्वी	Unk	O
संवत्	Unk	O
१८	CD	O
सय	CD	O
को	PKO	O
अन्त्य	NN	O
तिर	POP	O
संसार	NN	O
मा	POP	O
दुई	CD	O
सिद्धान्त	NN	O
प्रारम्भ	NN	O
भयो	VBX	O
।	YF	O
एउटा	CL	O
साम्यवाद	Unk	O
जस	CS	O
को	PKO	O
उद्देश्य	NN	O
थियो–	Unk	O
सुकुम	Unk	O
वासी	Unk	O
लाइ	Unk	O
छाना	Unk	O
,	YM	O
नाङ्गा	Unk	LOC
लाई	PLAI	O
नाना	Unk	O
र	CC	O
भो	Unk	O
का	PKO	O
लाइ	Unk	O
खाना	NN	O
।	YF	O
खान	NNP	PER
,	YM	O
लाउन	Unk	O
र	CC	O
बस्न	VBI	O
पाउनुु	Unk	O
मानिस	NN	O
को	PKO	O
नैसर्गिक	Unk	O
अधिकार	NN	O
हो	VBX	O
भन्ने	VBNE	O
कुरा	NN	O
मा	POP	O
जोड	NN	O
दिँदै	VBO	O
यस	DUM	O
ले	PLE	O
हरेक	JJ	O
मानिस	NN	O
लाई	PLAI	O
यस	DUM	O
को	PKO	O
परिपूर्ति	Unk	O
गरिनु	VBI	O
पर्ने	VBNE	O
मा	POP	O
जोड	NN	O
दियो	VBF	O
।	YF	O
त्यसैगरी	RBO	O
अर्काे	Unk	O
सिद्धान्त	NN	O
थियो–	Unk	O
प्रजातन्त्रवाद	Unk	O
जस	CS	O
ले	PLE	O
मानिस	NN	O
जन्मँदै	Unk	O
स्वतन्त्र	JJ	O
भएर	VBO	O
जन्मन्छ	Unk	O
त्यही	DUM	O
कारण	NN	O
उस	PP	O
लाई	PLAI	O
सघैँ	Unk	O
स्वतन्त्रता	NN	O
चाहिन्छ	VBF	O
भन्ने	VBNE	O
वकालत	NN	O
ग¥यो	Unk	O
।	YF	O
यिनै	DUM	O
दुई	CD	O
सिद्धान्त	NN	O
का	PKO	O
आधार	NN	O
मा	POP	O
संसार	NN	O
का	PKO	O
सबै	JJ	O
राष्ट्र	NN	O
मा	POP	O
शासनसत्ता	Unk	O
सञ्चालन	NN	O
भए	VBX	O
।	YF	O
यस	DUM	O
पछि	POP	O
फ्रान्स	NNP	LOC
मा	POP	O
निर्वाचन	NN	O
भयो	VBX	O
।	YF	O
निर्वाचन	NN	O
बाट	POP	O
जितेका	VBKO	O
मध्ये	POP	O
बहुमत	JJ	O
प्राप्त	JJ	O
हरू	HRU	O
दायाँ	JJ	O
बेन्च	NN	O
मा	POP	O
बस्ने	VBNE	O
र	CC	O
थोरै	JJ	O
सिट	NN	O
जित्नेहरूचाहिँ	Unk	O
बायाँ	Unk	O
बेन्च	NN	O
मा	POP	O
बस्ने	VBNE	O
चलन	NN	O
चलाइयो	Unk	O
।	YF	O
त्यतिखेर	DUM	O
देखि	POP	O
नै	RP	O
यसरी	RBM	O
बायाँ	Unk	O
बेच्न	Unk	O
मा	POP	O
बस्ने	VBNE	O
लाई	PLAI	O
वामपन्थी	Unk	O
भनिन	Unk	O
थालियो	Unk	O
।	YF	O
यथार्थ	JJ	O
मा	POP	O
प्रजातन्त्रवादी	JJ	O
पनि	RP	O
अल्पमत	NN	O
मा	POP	O
परेका	VBKO	O
बेला	NN	O
विपक्ष	Unk	O
भएर	VBO	O
बायाँ	Unk	O
बेन्च	NN	O
मै	POP	O
बस्नु	Unk	O
पर्छ	VBF	O
।	YF	O
अनि	CC	O
रुस	Unk	LOC
लगायत	POP	O
देश	NN	O
ले	PLE	O
१९	CD	O
औँ	Unk	O
शताब्दी	NN	O
मा	POP	O
आएर	VBO	O
त्यही	DUM	O
वामपन्थ	Unk	O
का	PKO	O
आधार	NN	O
मा	POP	O
साम्यवादी	Unk	O
बनेर	Unk	O
यस्तो	DM	O
सत्ता	NN	O
सञ्चालन	NN	O
गर्न	VBI	O
थालेका	VBKO	O
हुन्	VBX	O
।	YF	O
यस	DUM	O
क्रम	NN	O
मा	POP	O
भियतनाम	Unk	O
,	YM	O
लावस	Unk	O
लगायत	POP	O
का	PKO	O
देश	NN	O
ले	PLE	O
पनि	RP	O
त्यो	DUM	O
सि	NNP	O
को	PKO	O
गरेर	VBO	O
साम्यवादी	Unk	O
व्यवस्था	NN	O
सुरु	NN	O
गरे	VBF	O
तर	CC	O
कालान्तर	Unk	O
मा	POP	O
गएर	VBO	O
उनी	PP	O
हरू	HRU	O
परिवर्तन	NN	O
भए	VBF	O
।	YF	O
यसरी	RBM	O
साम्यवादी	Unk	O
लाई	PLAI	O
परिवर्तन	NN	O
गराउन	VBI	O
भने	VBO	O
अमेरिका	NNP	LOC
को	PKO	O
पनि	RP	O
ठूलो	JJM	O
हात	NN	O
छ	VBX	O
।	YF	O
साम्यवादी	Unk	O
देश	NN	O
हरू	HRU	O
गरिब	JJ	O
हुँदै	VBO	O
गएका	VBKO	O
ले	PLE	O
पनि	RP	O
यस	DUM	O
प्रति	POP	O
त्यहाँ	RBO	O
का	PKO	O
जनता	NN	O
को	PKO	O
आकर्षण	NN	O
घट्न	VBI	O
पुग्यो	VBF	O
।	YF	O
रोजगारी	NN	O
गुम्न	Unk	O
पुग्यो	VBF	O
।	YF	O
विभिन्न	JJ	O
अवसर	NN	O
हरू	HRU	O
खुम्चिए	Unk	O
।	YF	O
त्यही	DUM	O
कारण	NN	O
उनी	PP	O
हरू	HRU	O
परिवर्तन	NN	O
भए	VBF	O
।	YF	O
परिवर्तन	NN	O
भए	VBO	O
पछि	POP	O
अहिले	RBO	O
राम्रो	JJM	O
भएको	VBKO	O
रुस	Unk	LOC
कै	PKO	O
उदाहरण	NN	O
ले	PLE	O
पुस्टि	Unk	O
गर्छ	VBF	O
।	YF	O
जहाँ	RBO	O
सम्म	POP	O
साम्यवादी	Unk	O
विचारधारा	NN	O
अपनाएर	Unk	O
चीन	NNP	LOC
ले	PLE	O
प्रगति	NN	O
गरेको	VBKO	O
कुरा	NN	O
छ	VBX	O
,	YM	O
त्यो	DUM	O
खास	JJ	O
मा	POP	O
साम्यवादी	Unk	O
विचार	NN	O
नअंगा	Unk	O
ले	PLE	O
का	PKO	O
कारण	NN	O
सम्भव	JJ	O
भएको	VBKO	O
हो	VBX	O
।	YF	O
नेपाल	NNP	LOC
जस्तो	JJM	O
कम	JJ	O
शिक्षित	Unk	O
भएको	VBKO	O
देश	NN	O
का	PKO	O
जनता	NN	O
ले	PLE	O
अहिले	RBO	O
साम्यवादी	Unk	O
नारा	NN	O
लाई	PLAI	O
नि	Unk	O
कै	PKO	O
राम्रो	JJM	O
माने	NN	O
को	PKO	O
देखिएको	VBKO	O
छ	VBX	O
।	YF	O
देश	NN	O
मा	POP	O
व्याप्त	Unk	O
गरिबी	NN	O
का	PKO	O
कारण	NN	O
पनि	RP	O
यो	DUM	O
स्थिति	NN	O
सिर्जना	NN	O
भएको	VBKO	O
हो	VBX	O
।	YF	O
चेतना	NN	O
को	PKO	O
स्तर	NN	O
पनि	RP	O
कम	JJ	O
छ	VBX	O
।	YF	O
यही	DUM	O
कारण	NN	O
पनि	RP	O
वाम	NN	O
गठबन्धन	NN	O
ले	PLE	O
यसपालि	Unk	O
राम्रो	JJM	O
मत	NN	O
बटुल्न	Unk	O
सक्यो	Unk	O
।	YF	O
तर	CC	O
जब	CS	O
उनी	PP	O
हरू	HRU	O
सत्ता	NN	O
मा	POP	O
पुग्छन्	Unk	O
जनता	NN	O
लाई	PLAI	O
दिएका	VBKO	O
आश्वासन	Unk	O
बिर्सन्छन्	Unk	O
र	CC	O
आफ्नै	PPR	O
स्वार्थ	NN	O
मा	POP	O
लाग्छन्	VBF	O
भन्ने	VBNE	O
माओवादी	NNP	ORG
नै	RP	O
सत्ता	NN	O
मा	POP	O
पुगे	VBO	O
पछि	POP	O
पनि	RP	O
प्रमाणित	JJ	O
भइसकेको	VBKO	O
छ	VBX	O
।	YF	O
यही	DUM	O
स्वार्थ	NN	O
ले	PLE	O
जेलिए	Unk	O
का	PKO	O
कारण	NN	O
उनी	PP	O
हरू	HRU	O
पटक	RBO	O
पटक	RBO	O
टुक्रिए	Unk	O
का	PKO	O
पनि	RP	O
छन्	VBX	O
।	YF	O
यस	DUM	O
सन्दर्भ	NN	O
मा	POP	O
अहिले	RBO	O
माओवादी	NNP	ORG
र	CC	O
एमाले	NNP	ORG
को	PKO	O
मिलन	Unk	O
पनि	RP	O
दिगो	Unk	O
होला	VBF	O
र	CC	O
यिन	PP	O
ले	PLE	O
जनता	NN	O
लाई	PLAI	O
दिएका	VBKO	O
आश्वासन	Unk	O
पूरा	JJ	O
होलान्	Unk	O
भन्ने	VBNE	O
ठाउँ	NN	O
देखिन्न	NN	O
।	YF	O
ए	UNW	O
का	PKO	O
तिर	POP	O
सत्ता	NN	O
कै	PKO	O
लागि	POP	O
१०	CD	O
वर्ष	NN	O
सम्म	POP	O
हिंसात्मक	Unk	O
युद्ध	NN	O
सञ्चालन	NN	O
गरेको	VBKO	O
माओवादी	NNP	ORG
का	PKO	O
अध्यक्ष	NN	O
प्रचण्ड	NNP	PER
र	CC	O
अर्को	DUM	O
तर्फ	POP	O
झापा	NNP	LOC
काण्ड	NN	O
मच्चाए	Unk	O
का	PKO	O
एमाले	NNP	ORG
अध्यक्ष	NN	O
ओली	NNP	PER
बीच	POP	O
अहिले	RBO	O
जुनखाल	Unk	O
को	PKO	O
गठबन्धन	NN	O
बनेको	VBKO	O
छ	VBX	O
,	YM	O
सर्सर्ती	Unk	O
हेर्दा	VBO	O
उनी	PP	O
हरू	HRU	O
को	PKO	O
यो	DUM	O
मिलन	Unk	O
स्वार्थ	NN	O
मा	POP	O
केन्द्रित	JJ	O
देखिन्छ	VBF	O
।	YF	O
त्यसै	DUM	O
ले	PLE	O
आफू	PPR	O
माथि	POP	O
पर्दा	NN	O
ठीक	JJ	O
,	YM	O
नत्र	CS	O
बेठीक	Unk	O
भन्ने	VBNE	O
धारणा	NN	O
मा	POP	O
केन्द्रित	JJ	O
भएर	VBO	O
अघि	POP	O
बढ्ने	VBNE	O
भएका	VBKO	O
ले	PLE	O
यिनी	PP	O
हरू	HRU	O
ले	PLE	O
जनता	NN	O
लाई	PLAI	O
सुशासन	NN	O
दिन	VBI	O
सक्ने	VBNE	O
देखिन्न	NN	O
।	YF	O
नत्र	CS	O
एउटै	CL	O
पार्टी	NN	O
मा	POP	O
बसेर	Unk	O
१०	CD	O
वर्ष	NN	O
युद्ध	NN	O
चलाएका	VBKO	O
विप्लव	Unk	PER
,	YM	O
वैद्य	Unk	PER
आदि	NN	O
किन	QW	O
प्रचण्ड	JJ	PER
बाट	POP	O
छुट्टन्थे	Unk	O
र	CC	O
?	YF	O
स्वार्थ	NN	O
मिलेन	Unk	O
छुट्टिए	Unk	O
।	YF	O
त्यसै	DUM	O
ले	PLE	O
वाम	NN	O
गठबन्धन	NN	O
ले	PLE	O
जनता	NN	O
का	PKO	O
आवश्यकता	NN	O
पूरा	JJ	O
गर्न	VBI	O
सक्दैन	VBF	O
भन्न	VBI	O
यो	DUM	O
आधार	NN	O
पनि	RP	O
काफी	JJ	O
छ	VBX	O
।	YF	O
